test,tool1,tool1-min,tool2
a,0.07,0.12,4.45
b1,0.04,0.04,1.03
b2,0.03,0.03,0.06
b3,0.06,0.06,1.05
c,0.48,0.39,4.64
d,0.04,0.04,0.07
e,0.06,0.06,0.55
f,0.04,0.09,0.11
g,0.24,0.29,26.67
h,0.05,0.05,0.73
i,2.5,2.41,17.86
j,0.04,0.04,0.12
k,0.04,0.04,0.82
l,0.04,0.04,0.26
m1,0.07,0.59,21.08
m2,0.18,1.6,12
n,0.04,0.03,0.04
o,0.87,0.87,6
p,0.04,0.05,1.09
q,0.04,0.04,31.04
r,0.19,0.18,1.52
s,0.07,0.08,0.12
t,0.03,0.04,0.06
u01,0.03,0.03,0.09
u02,0.03,0.03,0.09
u03,0.04,0.04,0.51
u04,0.04,0.03,0.05
u05,0.03,0.03,0.1
u06,0.03,0.03,0.07
u07,0.04,0.04,0.22
u08,0.05,0.05,4.09
u09,0.03,0.03,0.46
u10,0.6,0.61,1999.27
u11,0.03,0.04,17.87
u12,0.03,0.03,0.18
u13,0.03,0.03,21.22
u14,0.03,0.03,0.09
u15,2.85,0.97,29.18
v,0.03,0.04,0.11
w,0.04,0.26,0.07
