"test","tool","time","id"
"a","tool1",0.07,1
"b1","tool1",0.04,2
"b2","tool1",0.03,3
"b3","tool1",0.06,4
"c","tool1",0.48,5
"d","tool1",0.04,6
"e","tool1",0.06,7
"f","tool1",0.04,8
"g","tool1",0.24,9
"h","tool1",0.05,10
"i","tool1",2.5,11
"j","tool1",0.04,12
"k","tool1",0.04,13
"l","tool1",0.04,14
"m1","tool1",0.07,15
"m2","tool1",0.18,16
"n","tool1",0.04,17
"o","tool1",0.87,18
"p","tool1",0.04,19
"q","tool1",0.04,20
"r","tool1",0.19,21
"s","tool1",0.07,22
"t","tool1",0.03,23
"u01","tool1",0.03,24
"u02","tool1",0.03,25
"u03","tool1",0.04,26
"u04","tool1",0.04,27
"u05","tool1",0.03,28
"u06","tool1",0.03,29
"u07","tool1",0.04,30
"u08","tool1",0.05,31
"u09","tool1",0.03,32
"u10","tool1",0.6,33
"u11","tool1",0.03,34
"u12","tool1",0.03,35
"u13","tool1",0.03,36
"u14","tool1",0.03,37
"u15","tool1",2.85,38
"v","tool1",0.03,39
"w","tool1",0.04,40
"a","tool1.min",0.12,1
"b1","tool1.min",0.04,2
"b2","tool1.min",0.03,3
"b3","tool1.min",0.06,4
"c","tool1.min",0.39,5
"d","tool1.min",0.04,6
"e","tool1.min",0.06,7
"f","tool1.min",0.09,8
"g","tool1.min",0.29,9
"h","tool1.min",0.05,10
"i","tool1.min",2.41,11
"j","tool1.min",0.04,12
"k","tool1.min",0.04,13
"l","tool1.min",0.04,14
"m1","tool1.min",0.59,15
"m2","tool1.min",1.6,16
"n","tool1.min",0.03,17
"o","tool1.min",0.87,18
"p","tool1.min",0.05,19
"q","tool1.min",0.04,20
"r","tool1.min",0.18,21
"s","tool1.min",0.08,22
"t","tool1.min",0.04,23
"u01","tool1.min",0.03,24
"u02","tool1.min",0.03,25
"u03","tool1.min",0.04,26
"u04","tool1.min",0.03,27
"u05","tool1.min",0.03,28
"u06","tool1.min",0.03,29
"u07","tool1.min",0.04,30
"u08","tool1.min",0.05,31
"u09","tool1.min",0.03,32
"u10","tool1.min",0.61,33
"u11","tool1.min",0.04,34
"u12","tool1.min",0.03,35
"u13","tool1.min",0.03,36
"u14","tool1.min",0.03,37
"u15","tool1.min",0.97,38
"v","tool1.min",0.04,39
"w","tool1.min",0.26,40
"a","tool2",4.45,1
"b1","tool2",1.03,2
"b2","tool2",0.06,3
"b3","tool2",1.05,4
"c","tool2",4.64,5
"d","tool2",0.07,6
"e","tool2",0.55,7
"f","tool2",0.11,8
"g","tool2",26.67,9
"h","tool2",0.73,10
"i","tool2",17.86,11
"j","tool2",0.12,12
"k","tool2",0.82,13
"l","tool2",0.26,14
"m1","tool2",21.08,15
"m2","tool2",12,16
"n","tool2",0.04,17
"o","tool2",6,18
"p","tool2",1.09,19
"q","tool2",31.04,20
"r","tool2",1.52,21
"s","tool2",0.12,22
"t","tool2",0.06,23
"u01","tool2",0.09,24
"u02","tool2",0.09,25
"u03","tool2",0.51,26
"u04","tool2",0.05,27
"u05","tool2",0.1,28
"u06","tool2",0.07,29
"u07","tool2",0.22,30
"u08","tool2",4.09,31
"u09","tool2",0.46,32
"u10","tool2",1999.27,33
"u11","tool2",17.87,34
"u12","tool2",0.18,35
"u13","tool2",21.22,36
"u14","tool2",0.09,37
"u15","tool2",29.18,38
"v","tool2",0.11,39
"w","tool2",0.07,40
